IndNo Y X1 X2 X3 X4 X5 X6 X7
1 67.21 3.77 22.11 79.58 78.27 73.19 88.73 15.51
2 61.1 3.76 19.88 71.23 70.67 78.5 88.87 15.52
3 59.89 3.96 22.36 71.44 73.27 76.1 88.65 15.61
4 61 3.92 19.04 70.36 71.72 73.02 87.54 15.57
5 60.89 4.13 22.97 69.12 68.66 68.81 88.97 16.58
6 57.87 3.64 18.45 67.29 66.73 68.66 86.87 14.33
7 62.42 4.36 22.45 74.3 74.71 74.31 89.06 17.26
8 60.64 3.99 18.39 70.71 72.01 72.41 89.17 14.83
9 57.74 3.93 19.59 65.62 63.89 70.44 89.22 16.57
10 63.99 3.89 21.49 73.61 73.77 72.26 86.45 14.64
11 62.67 4.38 22.7 74.27 73.89 72.19 90.45 15.89
12 60.75 3.86 21.16 68.79 70.19 70.22 89.45 14.35
13 62.96 4.02 22.32 71.35 70.38 75.69 89.62 15.41
14 63.36 3.92 20.93 72.86 75.43 76.21 89.01 15.34
15 66.19 4.55 24.67 78.91 79.39 76.01 87.07 15.72
16 59.88 3.75 17.06 68.95 68.74 71.15 88.81 14.69
17 60.08 3.98 19.16 71.06 72.58 72.15 87.53 16.53
18 64.96 3.21 17.98 76.02 77.89 76.26 88.69 14.74
19 64.51 4.27 23.19 75.38 76.21 76.22 89.55 16.09
20 62.95 3.79 20.95 72.67 75.33 75.17 88.03 15.02
21 63.71 4.53 25.04 73.8 77.29 78.47 88.31 17.51
22 62.71 4.05 21.06 74.14 75.05 78.22 88.76 15.45
23 61.41 3.92 21.05 72.02 72.51 71.98 91.01 15.18
24 66.81 4.28 24.38 78.17 78.53 77.04 91.18 16.74
25 61.02 3.79 20.2 71.42 72.54 77.29 87.63 15.3
26 61.6 4.8 22.31 72.73 74.03 66.19 88.15 16.23
27 61.8 4.07 23.54 74.75 74.01 67.02 89.72 16.1
28 63.69 3.79 22.72 72.58 74.03 76.61 90.24 16.25
29 60.03 4.13 22.39 70.19 71.61 66.64 89.43 16.38
30 60.8 4.11 23.97 71.24 71.74 75.77 87.81 15.8
31 64.66 3.73 21.31 74.71 74.34 80 90.09 15.46
32 55.68 3.9 17.49 66.3 67.1 67.12 85.64 15.33
33 64.77 4.31 24.02 75.4 75.51 73.08 90.55 15.69
34 62.06 4.05 21.61 71.99 73.09 65.2 89.35 15.7
35 64.76 4.01 18.13 74.57 75.86 74.13 89.81 16.12
36 63.82 3.7 17.26 73.35 74.6 72.37 90.08 16.23
37 60.09 4.11 20.06 70.29 72.03 72.92 87.09 15.97
38 61.5 3.75 20.9 71.47 71.79 74.59 89.94 14.68
39 56.15 4.11 21.55 67.88 71.42 70.16 87.32 14.58
40 61.78 4.03 22.55 74.41 74.41 69.68 87.15 14.28
41 64.21 3.76 22.49 74.03 73.78 65.76 90.13 14.26
42 60.7 3.39 20.62 70.37 71.3 72.63 88.59 15.79
43 57.91 3.78 16.16 67.13 68.46 71.81 88.91 14.22
44 62.93 4.11 20.76 72.25 73.06 69.92 88.72 15.8
45 60.8 4.52 20.07 71.69 73.02 70.36 87.4 15.17
46 64.41 3.94 22.45 75.36 75.12 76.94 91.89 16.46
47 59.34 3.7 20.55 69.53 70.75 68.16 86.34 17.01
48 55.85 3.61 18.67 66.98 71.07 69.38 86.21 16.03
49 60.73 3.7 20.98 69.36 71.65 68.07 89.03 13.89
50 60.17 3.83 18.1 69.78 69.41 68.33 87.3 18.03
51 61.36 4.53 21.76 72.77 73.2 72.37 86.54 16.65
52 62.32 3.84 19.28 71.78 71.65 69.29 89.83 15.97
53 61.64 3.74 19.75 72.67 73.11 64.93 89.44 15.6
54 65.3 4.01 21.08 75.36 76.08 79 88.68 15.22
55 59.31 3.94 21.96 68.41 70.66 70.76 87.26 14.44
56 61.42 3.67 21.63 71.16 71.34 71.64 88.59 16.49
57 62.59 4.07 22.03 73.62 74.1 73.15 88.67 15.1
58 65.55 4.11 21.8 76.23 76.48 77.28 89.54 16.75
59 62.43 4.67 22.74 72.46 74.56 70.38 90.98 15.49
60 65.4 4.36 21.87 77.07 79.08 74.23 85.96 16.89
61 58.99 4.08 23.55 69.12 67.92 69.67 88.36 15.29
62 60.71 3.64 18.53 70.76 71.9 71.33 89.62 15.22
